feature_word,diff,breakout_freq,no_breakout_freq
微博,1.574150350457404,1.7640364188163886,0.1898860683589846
滚动,1.5697656519896863,1.659711684370258,0.08994603238057167
青春,1.5378367819975693,3.926403641881639,2.3885668598840697
男孩子,-1.504099437151063,0.4647192716236722,1.9688187087747353
观光团,1.4731904408189684,1.7830045523520486,0.30981411153308014
动漫,-1.4300619173260838,0.3888467374810318,1.8189086548071158
女神,1.419650865019683,1.8493930197268589,0.4297421547071757
电影,1.4095450165409096,4.26783004552352,2.8582850289826105
版权,1.3977197899773033,3.1866464339908953,1.788926644013592
rip,1.3657056145675264,1.3657056145675264,0.0
生日快乐,1.3635540223665494,3.8220789074355084,2.4585248850689587
原版,-1.349808476067622,1.4984825493171472,2.848291025384769
乐签,1.3182852807283763,1.3182852807283763,0.0
初中,-1.3154417668063805,1.6028072837632779,2.918249050569658
蛋糕,1.3019673021680163,1.6217754172989378,0.31980811513092144
红心,-1.273626946745458,0.825113808801214,2.098740755546672
歌词,1.2484789096193267,14.140743550834598,12.89226464121527
名字,-1.2384488881784739,2.0295902883156294,3.2680391764941037
男生,-1.2275316903939577,0.7113050075872533,1.9388366979812113
哀伤,-1.210819411236414,3.746206373292868,4.957025784529282
歌单,-1.2071380085454038,1.261380880121396,2.4685188886667997
小秘书,1.1873433602964167,1.3372534142640364,0.14991005396761942
电音,-1.1831747688867713,1.7450682852807282,2.9282430541674995
爱情,-1.165144994945369,6.800075872534143,7.965220867479512
原曲,-1.139725876158675,0.37936267071320184,1.5190885468718769
风格,1.1396140312777432,2.03907435508346,0.8994603238057165
痛苦,-1.13636105135098,0.5026555386949925,1.6390165900459726
抖腿,-1.1268769845831499,0.5121396054628224,1.6390165900459726
回归,1.125544324391708,1.1855083459787557,0.05996402158704777
小时候,-1.0946542848190934,1.2139605462822458,2.3086148311013392
疯狂,1.0699650012723776,1.289833080424886,0.21986807915250847
吉言,-1.0634438760112672,0.07587253414264036,1.1393164101539075
单身狗,1.0479372467566501,1.3277693474962065,0.2798321007395563
耍酷,-0.9998098257888969,0.37936267071320184,1.3791724965020986
超级,0.9767508235574588,2.4658573596358115,1.4891065360783529
厉害,0.9747072848855175,3.433232169954476,2.4585248850689587
张国荣,0.9587058842084734,1.1286039453717753,0.16989806116330203
愚人节,0.9443271821429146,1.024279210925645,0.07995202878273036
铃声,-0.9347464359017367,0.2845220030349014,1.219268438936638
努力,-0.9261040492548177,6.629362670713202,7.555466719968019
老公,0.9092458030492783,1.1191198786039456,0.2098740755546672
情人节,0.905266779234432,1.5648710166919575,0.6596042374575255
老子,-0.9029294107905513,0.43626707132018205,1.3391964821107334
明白,-0.8936500770251051,0.6354324734446131,1.529082550469718
经历,-0.8724374631670164,0.4267830045523521,1.2992204677193684
女声,-0.8574521447980981,1.820940819423369,2.6783929642214668
男朋友,-0.8568379457909473,1.2518968133535662,2.1087347591445136
歌名,-0.8406204380558311,0.5785280728376327,1.4191485108934638
歌曲,-0.8375683997795558,2.3805007587253413,3.218069158504897
撇嘴,-0.8335893759647095,1.9347496206373291,2.7683389966020386
晚安,0.8177472120672966,6.7242033383915025,5.906456126324206
对不起,-0.7940190362262158,1.3846737481031868,2.1786927843294026
怀念,0.7853387360603366,1.5648710166919575,0.779532280631621
老师,0.7738111306205653,2.522761760242792,1.7489506296222268
老歌,-0.7699477430385472,0.37936267071320184,1.149310413751749
口罩,-0.746900114862797,0.3224582701062215,1.0693583849690185
小姐姐,0.7302655584191214,2.5891502276176026,1.858884669198481
发歌,0.7282333938028684,0.7682094081942337,0.03997601439136518
礼物,0.7185445940326548,0.9484066767830046,0.22986208275034978
鬼脸,-0.7071288334738156,0.5121396054628224,1.219268438936638
游戏,-0.699379310198403,0.7397572078907435,1.4391365180891467
抖音,0.6973130234150856,5.804248861911987,5.106935838496902
致敬,0.6967215725193109,0.7966616084977238,0.09994003597841296
土嗨,-0.6957054902111843,0.11380880121396056,0.8095142914251449
恭喜,0.6904980683820362,1.4700303490136573,0.779532280631621
蹦迪,-0.6903009180834444,0.19916540212443096,0.8894663202078753
抑郁症,-0.6723526582078068,0.23710166919575115,0.9094543274035579
陌生人,-0.6718465127296914,1.1570561456752655,1.828902658404957
心碎,0.6665158719639233,5.633535660091047,4.967019788127124
抑郁,-0.6649083387600216,0.2845220030349014,0.949430341794923
伴奏,-0.6628685914399767,0.24658573596358116,0.9094543274035579
单曲循环,0.6606165284137561,1.839908952959029,1.1792924245452727
电影院,0.6598051791080132,0.7397572078907435,0.07995202878273036
惶恐,-0.6464501420543728,0.31297420333839154,0.9594243453927643
注销,-0.6442056617319442,0.0853566009104704,0.7295622626424145
讨厌,-0.6435952540766892,0.44575113808801214,1.0893463921647013
旋律,-0.6228963684005075,1.1760242792109254,1.798920647611433
理解,-0.6198329560685439,0.18968133535660092,0.8095142914251449
节目,0.6193192278866367,0.7492412746585736,0.12992204677193683
小学,-0.6190216067628013,1.289833080424886,1.9088546871876875
华晨宇,0.6131999859265017,0.8630500758725341,0.24985008994603236
学习,-0.610348889300714,0.19916540212443096,0.8095142914251449
高考,-0.604650487401034,3.2530349013657056,3.8576853887667397
学校,-0.6022941621976737,0.6069802731411229,1.2092744353387967
姑娘,-0.5993388033947462,1.1096358118361154,1.7089746152308616
圣诞节,0.5959663958832592,0.6259484066767831,0.029982010793523885
冠军,0.5954564590532478,0.6354324734446131,0.03997601439136518
英语,-0.5924006294250764,0.23710166919575115,0.8295022986208275
洗脑,0.5828085091282105,1.242412746585736,0.6596042374575255
事情,-0.5809810775143411,0.7682094081942337,1.3491904857085748
有没有,-0.5795517378495512,0.36987860394537175,0.949430341794923
谈恋爱,-0.573536758066556,0.815629742033384,1.38916650009994
回忆,-0.570897977146944,3.926403641881639,4.497301619028583
许嵩,0.566084855914979,0.9958270106221547,0.4297421547071757
经典,-0.5650725649587486,0.8440819423368741,1.4091545072956226
系列,-0.5585438569938462,0.3509104704097117,0.9094543274035579
新年快乐,0.5554766533099866,1.5648710166919575,1.0093943633819709
民谣,-0.5515090035508287,0.7776934749620636,1.3292024785128924
心动,-0.5479394457407498,0.7113050075872533,1.2592444533280032
男声,-0.54651010607596,0.31297420333839154,0.8594843094143514
单身,0.5448722420568902,1.2044764795144156,0.6596042374575255
安排,0.5442618344016351,0.8440819423368741,0.29982010793523883
