,center_text,b_size
922,高考,596
923,高考,231
924,高考,226
925,高考,209
926,高考,226
927,高考,316
928,高考,526
929,高考,223
930,高考,381
931,高考,208
932,高考,205
933,高考,432
934,高考,257
935,高考,257
936,高考,210
937,高考,309
938,高考,290
939,高考,849
940,高考,425
941,高考,288
942,高考,202
943,高考,605
944,高考,512
945,高考,289
946,高考,346
947,高考,219
948,高考,367
949,高考,1110
950,高考,223
951,高考,203
952,高考,201
953,高考,295
954,高考,229
955,高考,254
956,高考,239
957,高考,251
958,高考,546
959,高考,203
960,高考,232
961,高考,212
962,高考,244
963,高考,240
964,高考,271
965,高考,285
966,高考,509
967,高考,207
968,高考,525
969,高考,530
970,高考,200
971,高考,362
972,高考,213
973,高考,241
974,高考,230
975,高考,225
976,高考,241
977,高考,203
978,高考,215
979,高考,252
980,高考,210
981,高考,230
982,高考,1032
983,高考,494
984,高考,412
985,高考,775
986,高考,647
987,高考,205
988,高考,592
989,高考,406
990,高考,315
991,高考,204
992,高考,231
993,高考,3939
994,高考,285
995,高考,215
996,高考,717
997,高考,343
998,高考,584
999,高考,1143
1000,高考,435
1001,高考,311
1002,高考,423
1003,高考,1155
1004,高考,601
1005,高考,484
1006,高考,291
1007,高考,235
1008,高考,254
1009,高考,308
1010,高考,597
1011,情人节,257
1012,情人节,337
1013,情人节,286
1014,情人节,238
1015,情人节,245
1016,情人节,903
1017,情人节,803
1018,情人节,286
1019,情人节,520
1020,情人节,277
1021,情人节,378
1022,情人节,209
1023,情人节,262
1024,情人节,384
1025,情人节,945
1026,情人节,260
1027,情人节,426
1028,情人节,209
1029,情人节,545
1030,情人节,371
1031,情人节,296
1032,情人节,337
1033,情人节,356
1034,情人节,315
1035,情人节,303
1036,情人节,453
1037,情人节,727
1038,情人节,436
1039,情人节,572
1040,情人节,450
1041,情人节,442
1042,情人节,889
1043,情人节,1044
1044,情人节,2408
1045,情人节,1137
1046,情人节,225
1047,情人节,1167
1048,情人节,602
1049,情人节,210
1050,情人节,1118
1051,情人节,1186
1052,情人节,209
1053,情人节,636
1054,情人节,247
1055,情人节,236
1056,情人节,242
1057,情人节,501
1058,情人节,234
