['535646300-0', 8, ['好听', '喜欢', '日推', '评论', '开口', '打卡', '加油', '助攻', '声音', '好好']]
['548706798-2', 8, ['喜欢', '回家', '好听', '牛逼', '错过', '加油', '说唱', '歌词', '音乐', '评论']]
['558071673-0', 8, ['好听', '喜欢', '评论', '日推', '加油', '好好', '不错', '打卡', '节奏', '留名']]
['558078362-0', 8, ['喜欢', '好听', '评论', '后知后觉', '好好', '日推', '打卡', '不错', '耳朵', '留名']]
['564663565-0', 8, ['好听', '喜欢', '前排', '声音', '饼干', '好好', '超级', '呜呜', '快乐', '表白']]
['864379991-0', 8, ['好听', '生日快乐', '抖音', '声音', '喜欢', '火钳刘明', '发现', '好好', '宝藏', '超级']]
['865998092-1', 8, ['好听', '喜欢', '日推', '牛奶', '评论', '加油', '开口', '声音', '打卡', '好好']]
['1293897631-0', 7, ['好听', '喜欢', '日推', '助攻', '评论', '打卡', '加油', '声音', '好好', '听的歌']]
['1296327195-0', 7, ['好听', '喜欢', '评论', '开口', '分享', '发现', '我爱你', '晚安', '不火', '声音']]
['1296903405-0', 7, ['喜欢', '芒果', '小鹿', '好听', '笔芯', '声音', '单曲循环', '留名', '反正', '评论']]
['1299557101-0', 7, ['抖音', '喜欢', '宝藏', '大街', '发现', '烦死', '歌曲', '好听', '加油', '评论']]
['1300076307-0', 7, ['好听', '喜欢', '抖音', '评论', '好好', '感谢', '单曲循环', '耳朵', '不错', '作者']]
['1303019276-2', 7, ['宝藏', '热搜', '发现', '喜欢', 'keshi', '歌曲', '吉言', '加油', '好听', '呜呜']]
['1304758631-0', 7, ['烟鬼', '好听', '喜欢', '前排', '专辑', '加油', '评论', '歌词', '留名', '网易']]
['1306442233-0', 7, ['喜欢', '好听', '加油', '后知后觉', '日推', '不知不觉', '评论', '好好', '不错', '声音']]
['1306498096-0', 7, ['好听', '喜欢', '声音', '加油', '税子', '音乐', '单曲循环', '温柔', '支持', '小哥哥']]
['1308914382-0', 7, ['夏天', '喜欢', '嘉敏', '好听', '加油', '好好', '努力', '前排', '生活', '声音']]
['1310079644-0', 7, ['好听', '抖音', '喜欢', '评论', '日推', '打卡', '加油', '不错', '适合', '确实']]
['1313107303-0', 7, ['好听', '喜欢', '遗忘', '听到', '不错', '声音', '歌词', '发现', '开心', '听的歌']]
['1314777725-0', 7, ['喜欢', '好听', '发现', '抖音', '评论', '时间', '宝藏', '加油', '生日快乐', '好好']]
['1318235595-1', 7, ['耳朵', '贝贝', '好听', '眼睛', '加油', '听到', '评论', '喜欢', '声音', '李荣浩']]
['1319607592-0', 7, ['好听', '等到', '喜欢', '抖音', 'call', '小姐姐', '打卡', '大金', '好好', '前排']]
['1319689214-0', 7, ['宝藏', '歌词', '好听', '抖音', '火钳刘明', '积分', '歌曲', '冲冲', '喜欢', '评论']]
